"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:03mRFDkmdcLpdAcZtqfESL","Without You","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:5JYo7gm2dkyLLlWHjxS7Dy","Avicii, Sandro Cavazza","spotify:album:5VPw18vPykfaX5s3jiS0Ox","Avicii Forever","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2025-05-16","https://i.scdn.co/image/ab67616d0000b273d586098ba36b54d4167de337","1","6","181672","","true","61","SE5R71700101","","2026-03-03T11:28:27Z"
"spotify:track:22mek4IiqubGD9ctzxc69s","How Deep Is Your Love","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:5EehXjjMktLuJmbRsM7YfB","Calvin Harris, Disciples","spotify:album:3cG32DOXJoYlOHMmJIaQsm","How Deep Is Your Love","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:5EehXjjMktLuJmbRsM7YfB","Calvin Harris, Disciples","2015-07-17","https://i.scdn.co/image/ab67616d0000b27304983fd825ffccc2828f5f5b","1","1","212495","https://p.scdn.co/mp3-preview/608e9972378861ca98ca8ed24d338f39943da073?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBARL1500704","","2026-03-03T11:28:05Z"
"spotify:track:5qaEfEh1AtSdrdrByCP7qR","Demons","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:6nxDQi0FeEwccEPJeNySoS","Night Visions","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273407bd04707c463bbb3410737","1","4","177506","","false","84","USUM71201071","","2026-03-03T11:23:29Z"
"spotify:track:5TbzAWWc5eJaANpA9kfGCd","Love Me Again","spotify:artist:34v5MVKeQnIo0CWYMbbrPf","John Newman","spotify:album:2Bgfdyrywv3KEe0WwZdb0V","Tribute","spotify:artist:34v5MVKeQnIo0CWYMbbrPf","John Newman","2013-01-01","https://i.scdn.co/image/ab67616d0000b273b38d10a0f9eabec693d8f96e","1","2","239894","","false","80","GBUM71301538","","2026-03-03T11:22:44Z"
"spotify:track:1qDrWA6lyx8cLECdZE7TV7","Somebody That I Used To Know","spotify:artist:2AsusXITU8P25dlRNhcAbG, spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti","Gotye, Kimbra","spotify:album:4G2rJNhsKOE6iHgtUqZ0Ye","Making Mirrors","spotify:artist:2AsusXITU8P25dlRNhcAbG","Gotye","2011-01-01","https://i.scdn.co/image/ab67616d0000b2738ac5768205ad97df3f4f4c0e","1","3","244884","","false","82","AUZS21100040","","2026-03-03T11:22:31Z"
"spotify:track:2GgxS8bUT5G25QJTsfSv0R","Burn","spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Ellie Goulding","spotify:album:2Dw4fYqDQnxsgoXDdMbqh3","Halcyon Days","spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Ellie Goulding","2014-01-01","https://i.scdn.co/image/ab67616d0000b27360a98c3be4daffefe9014c7e","1","15","231211","","false","65","GBUM71303482","","2026-03-03T11:22:14Z"
"spotify:track:0azC730Exh71aQlOt9Zj3y","This Is What You Came For","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Calvin Harris, Rihanna","spotify:album:3pEgGUv379EDinvg1TN7Kt","This Is What You Came For","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Calvin Harris, Rihanna","2016-04-29","https://i.scdn.co/image/ab67616d0000b2732b0b6b4b5f493dbccacd0de4","1","1","221900","https://p.scdn.co/mp3-preview/e48e6b923e17e69d081494d68cce3beb4a45f522?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBARL1600460","","2026-03-03T11:21:49Z"
"spotify:track:0qOnSQQF0yzuPWsXrQ9paz","Stereo Hearts (feat. Adam Levine)","spotify:artist:4IJczjB0fJ04gs4uvP0Fli, spotify:artist:4bYPcJP5jwMhSivRcqie2n","Gym Class Heroes, Adam Levine","spotify:album:2mumCpGmuE9iDeOvMx6XrB","The Papercut Chronicles II","spotify:artist:4IJczjB0fJ04gs4uvP0Fli","Gym Class Heroes","2011-11-11","https://i.scdn.co/image/ab67616d0000b27318b8088fe0c3dbf78398b55a","1","4","210960","https://p.scdn.co/mp3-preview/a62b535109dff39bdcc859c6fd2160e927d4b1c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USAT21101071","","2026-03-03T11:20:04Z"
"spotify:track:07nH4ifBxUB4lZcsf44Brn","Blame (feat. John Newman)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:34v5MVKeQnIo0CWYMbbrPf","Calvin Harris, John Newman","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","3","212960","https://p.scdn.co/mp3-preview/8cc0178f211851bea0780a38757d301509d20bd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBARL1400567","","2026-03-03T11:19:17Z"
"spotify:track:5JVbvCHX10U2pLa5DEqGav","Safe and Sound","spotify:artist:4gwpcMTbLWtBUlOijbVpuu","Capital Cities","spotify:album:3rLiil7YBkoGXLrFtwYcju","In A Tidal Wave of Mystery","spotify:artist:4gwpcMTbLWtBUlOijbVpuu","Capital Cities","2013-06-04","https://i.scdn.co/image/ab67616d0000b273b03e92f4e7dcd9db3a06c869","1","1","192789","https://p.scdn.co/mp3-preview/5e9a012f06d4c8612a3d378cde706104c00ec621?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","TCABD1246970","","2026-03-03T11:17:43Z"
